,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
212,5340,建榮工業材料股份有限公司,建榮,電子零組件業,－,桃園巿楊梅區民豐路277號,86691377,林壽信,吉田浩一,劉純珍,副總經理,重岡奏,03-4754728,81/08/12,87/01/20,新台幣 10.0000元,1948939640,194893964,29000000,0,個別,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,江采燕,劉倩瑜,BAOTEK,"No.277, Ming Fong Rd.,Yang Mei District, Taoyuan City, Taiwan",03-4759675,IR@baotek.com.tw,http://www.baotek.com.tw,劉純珍,副總經理,03-4754728,IR@baotek.com.tw,http://baotek.com.tw/index.php?action=investhome
213,5344,立衛科技股份有限公司,立衛,半導體業,－,新竹市科學園區力行五路9號,22099316,沈炳輝,許文景,許文景,總經理,黃俊士,03-5770345,77/04/01,87/03/23,新台幣 10.0000元,794474600,79447460,0,0,個別,每年,股東會,中國信託商業銀行股份有限公司,02-66365566,(100)台北市中正區重慶南路一段83號6樓,勤業眾信聯合會計師事務所,葉東煇,方蘇立,VATE,"NO.9 LI-HSIN RD. V., SCIENCE-BASED INDUSTRIAL PARK,HSIN CHU, TAIWAN, R.O.C.",03-5645515,25051@mail.vate.com.tw,www.vate.com.tw,黃俊士,財務經理,03-5770345,31006@mail.vate.com.tw,http://www.vate.com.tw/
214,5347,世界先進積體電路股份有限公司,世界,半導體業,－,新竹科學園區新竹縣園區三路123號,84149358,方略,方略,黃惠蘭,財務副總經理暨財務長,蔣坤勝,03-5770355,83/12/05,87/03/25,新台幣 10.0000元,16389822670,1638982267,0,0,合併,每年,股東會,中國信託商業銀行代理部,02-66365566,台北巿重慶南路一段83號5樓,勤業眾信聯合會計師事務所,葉東煇,鍾鳴遠,VIS,"123, Park Ave -3rd, Hsinchu Science Park,Hsinchu, Taiwan 30077, R. O. C.",03-5630666,pr@vis.com.tw,www.vis.com.tw,劉貞芸,經理,03-5770355 ext.1421,cyliuc@vis.com.tw,http://www.vis.com.tw/visCom/chinese/g_footer/g02_contactus.jsp
215,5348,系通科技股份有限公司,系通,通信網路業,－,苗栗縣竹南科中路31號3樓,22099673,胡湘麒,胡湘麒,石介璇,財會主管,屏選中,037-585920,79/12/03,87/04/29,新台幣 10.0000元,289503100,28950310,14700000,0,個別,每年,董事會,新光證券股份有限公司,(02)2311-8787,台北市中正區重慶南路一段六十六之一號十一樓,佳明聯合會計師事務所,蔡佳玲,周峻墩,TSI,"3F,NO.31, Ke Jung Rd.,Hsinchu Science Park, Chu-Nan, Miao-Li,Taiwan 350, R.O.CMiao-Li,Taiwan , ROC",037-585-530,jiayi@transystem.com.tw,http://www.transystem.com.tw,石介璇,財會主管,037-585920,hazel@transystem.com.tw,http://www.transystem.com.tw/Information.php
216,5351,鈺創科技股份有限公司,鈺創,半導體業,－,新竹市科學園區科技五路六號,22099694,盧超群,鄧茂松,蔡婷婷,處長,程俊翰,(03)5782345,80/02/01,87/05/15,新台幣 10.0000元,2698693470,269869347,0,0,合併,每年,股東會,中國信託商銀代理部,(02)6636-5566,北市重慶南路一段83號5樓,資誠聯合會計師事務所,江采燕,溫芳郁,Etron,"No. 6, Technology Road 5, Hsinchu Science Park Hsinchu, Taiwan 30078, R.O.C.",(03)5779001,invest@etron.com,www.etron.com,蔡婷婷,企業溝通處長,(03)5782345-8670,invest@etron.com.tw,http://www.etron.com.tw/tw/index/index_tw.php
217,5353,台林電通股份有限公司,台林,通信網路業,－,桃園市蘆竹區榮安路10號,12278439,陳俊廷,陳俊廷,陳建村,資深副總經理,黃文慧,03-3222201,69/04/10,87/05/18,新台幣 10.0000元,750000000,75000000,0,0,合併,每年,股東會,元富證券股份有限公司,02-27686668,台北市松山區光復北路11巷35號地下一樓,安永聯合會計師事務所,王瑄瑄,呂倩雯,Tailyn,"NO.10 RUNGAN ROAD LUZHU DISTRICT,TAOYUAN CITY,TAIWAN",03-3127314,invest@tailyn.com.tw,www.tailyn.com.tw,陳建村,資深副總,03-3222201,invest@tailyn.com.tw,www.tailyn.com.tw
218,5355,佳總興業股份有限公司,佳總,電子零組件業,－,桃園市大林里興邦路39-4號,23063420,承安投資股份有限公司,曾繼立,陳冠民,協理,吳家力,03-3667382,77/09/19,87/06/23,新台幣 10.0000元,1661227920,166122792,19162620,0,合併,每年,股東會,中國信託商業銀行代理部,02-6636-5566,北市重慶南路一段83號5樓,正風聯合會計師事務所,曾國富,鄭憲修,PSC,"No. 39-4, Singbang Rd., Taoyuan Dist., Taoyuan City 330, Taiwan (R.O.C.)　TAOYUAN TAIWAN. R.O.C",03-3676010,jerry@gia-tzoong.com.tw,www.gia-tzoong.com.tw,陳冠民,協理,03-3667382#700,miin@gia-tzoong.com.tw,www.gia-tzoong.com.tw
219,5356,協益電子股份有限公司,協益,電腦及週邊設備業,－,臺北市中正區館前路49號3樓,35229109,王自軍,王自軍,王自軍,董事長,李佳鍞,(02)7725-5356,58/01/08,87/07/20,新台幣 10.0000元,1030400000,103040000,0,0,合併,每年,董事會,國票綜合證券股份有限公司,02-2528-8988,105411台北市松山區南京東路五段188號15樓,勤業眾信聯合會計師事務所,王攀發,劉書琳,SIRTEC,"3F., No.49, Guanqian Rd., Zhongzheng Dist.,Taipei City 100, Taiwan (R.O.C.)",(02)7725-5353,julielee@sirtec.com.tw,http://www.sirtec.com.tw,李佳鍞,資深協理,(02)7725-5356 #9,julielee@sirtec.com.tw,http://www.sirtec.com.tw/index.php?option=com_content&task=view&id=246&Itemid=156
220,5371,中強光電股份有限公司,中光電,光電業,－,新竹科學工業園區新竹市東區力行路11號,22099907,張威儀,林惠姿 陳士元 吳秀蕙,溫慧萍,法人關係室特別助理,財務長 何新斌,03-5772000,81/06/30,88/01/20,新台幣 10.0000元,3909811100,390981110,0,0,合併,每年,董事會,台新綜合證券(股)公司股務代理部,(02)2504-8125,台北市建國北路一段96號地下一樓,安永聯合會計師事務所,郭紹彬,陳智忠,Coretronic,"No 11, Li Hsing Rd, Science Park,, Hsinchu, TaiwanHsinchu, Taiwan",03-5772530,ssd@coretronic.com,www.coretronic.com,溫慧萍,法人關係室特別助理,03-5772000-7170,ir@coretronic.com,https://www.coretronic.com/csr/shareholder
221,5381,合正科技股份有限公司,合正,電子零組件業,－,桃園市中壢區中壢工業區東園路38-1號,86332422,凃俊光,謝炳輝,謝炳輝,總經理,金承龍,03-4610732,80/09/06,88/03/19,新台幣 10.0000元,1801568370,180156837,61953433,0,合併,每年,股東會,元富證券股份有限公司,02-27686668,臺北市松山區光復北路11巷35號B1,安永聯合會計師事務所,洪茂益,張志銘,UNIPLUS,"38-1 TUNG YUAN RDCHUNG-LI TAOYUAN HSIEN, TAIWAN",03-4514206,sally_yen@uniplus.com.tw,www.uniplus.com.tw,金承龍,財務副總,03-4610732,rex_chin@uniplus.com.tw,www.uniplus.com.tw
222,5383,金利精密工業股份有限公司,金利,其他電子業,－,桃園市平鎮區平鎮工業區工業五路四號,35317291,趙永昌,趙永昌,張明亮,副總經理,謝秋萍,(03)4696175,58/04/08,88/04/14,新台幣 10.0000元,794003990,79400399,30000000,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路一段八十三號五樓,勤業眾信聯合會計師事務所,黃堯麟,陳致源,KENLY,"NO.4 Industrial 5thRD., Ping Chen Industrail DistTAOYUAN HSIEN, TAIWAN",(03)4696997,charlliechang@kenly.com.tw,www.kenly.com.tw,謝秋萍,課長,(03)4696175,candy_h@kenly.com.tw,http://www.kenly.com.tw/zh-tw/investor/index
223,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
224,5386,青雲國際科技股份有限公司,青雲,電腦及週邊設備業,－,新北市中和區中正路716號6樓,21224842,柯聰源,柯聰源(暫代),呂仰鎧,副董事長,陳韻華,02-82273277,73/06/26,88/05/13,新台幣 10.0000元,247786590,24778659,0,0,個別,每年,董事會,中國信託商業銀行股份有限公司,02-6636-5566,台北市100中正區重慶南路一段八十三號五樓,眾智聯合會計師事務所,游佩靜,王惠民,ALBATRON,"6F, No.716, Chung Cheng Rd., ChungHo District,New Taipei City, Taiwan",02-82273266,stock@albatron.com.tw,http://www.albatron.com.tw,呂仰鎧,副董事長,02-82273277,stock@albatron.com.tw,Http://www.albatron.com.tw
225,5392,能率創新股份有限公司,能率,光電業,－,台北市復興北路101號10樓,84901089,董俊仁,胡湘麒,董俊毅,副董事長,周哲毅,(02)25472089,83/12/29,88/06/14,新台幣 10.0000元,1699639900,169963990,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,(02)2702-3999,台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,林雅慧,徐永堅,ABICO AVY,"10F, No.101, Fu-Hsing North Road Taipei, Taiwan 105, R.O.CTaipei,Taiwan,R.O.C",(02)25472909,invest@avy.com.tw,www.avy.com.tw,周哲毅,協理,(02)25472089分機1511,invest@avy.com.tw,www.avy.com.tw
226,5403,中菲電腦股份有限公司,中菲,資訊服務業,－,台北市內湖區行愛路151號8樓,12358067,莊斯威,張樹義,吳淑如,財務長,張樹義,81705168,70/11/21,88/10/15,新台幣 10.0000元,708930450,70893045,0,0,合併,每年,董事會,台新證券股務代理部,25048125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,邱盟捷,鄭欽宗,DDSC,"8th FL.No.151,Xing'ai Rd.,Neihu Dist Taipei Taiwan, R.O.C",81706168,daphne@ddsc.com.tw,http://www.ddsc.com.tw,吳淑如,財務長,81705168,selena@ddsc.com.tw,http://www.ddsc.com.tw
227,5410,國眾電腦股份有限公司,國眾,資訊服務業,－,臺北市內湖區陽光街298號3樓,01517124,王超群,王超群,吳建芳,協理,李祥睿,(02)2799-6789,74/09/13,88/11/26,新台幣 10.0000元,873701230,87370123,0,0,合併,每年,股東會,台新證券股務代理部,(02)2504-8125,臺北市建國北路一段96號地下一樓,勤業眾信聯合會計師事務所,劉書琳,徐文亞,LEO,"3F, No. 298, Yang Guang St., Neihu Dist.,Taipei 11491, Taiwan, R.O.C.",(02)2799-7789,finance@leosys.com,www.leosys.com,吳建芳,協理,02-27996789,allanwu0415@leosys.com,www.leosys.com
228,5425,台灣半導體股份有限公司,台半,半導體業,－,新北市新店區北新路3段205號11樓,34286449,王秀亭,王秀亭,吳志寬,法務部處長,鄭懿誠,89131588,68/01/18,89/02/21,新台幣 10.0000元,2650854860,265085486,6741000,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,梅元貞,許育峰,TSC,"11Fl., No. 205, Sec. 3, Beishin Rd., Xindian Dist.,New Taipei City 231, Taiwan, R.O.C.",89131858,margret@mail.ts.com.tw,www.ts.com.tw,吳志寬,法務部處長,89131588-1201,spencer_wu@mail.ts.com.tw,www.ts.com.tw
229,5426,振發實業股份有限公司,振發,電腦及週邊設備業,－,新北市三重區光復路二段二十五號,35320697,蔡宗勳,蔡宗勳,黎正忠,協理,陳建州,2995-1436,61/07/17,89/02/09,新台幣 10.0000元,1438000000,143800000,0,0,合併,每年,股東會,亞東證券股份有限公司,(02)7753-1699,新北市板橋區新站路16號13樓,高威聯合會計師事務所,蔡文精,林章國,CF,"No. 25, Sec. 2, Guangfu Rd., Sanchong Dist,New Taipei City, TAIWAN, R.O.C.",22783853,tinaling@chengfwa.com.tw,www.chengfwa.com.tw,黎正忠,協理,02-29951436*308,sfc@chengfwa.com.tw,www.chengfwa.com.tw
230,5432,新門科技股份有限公司,新門,光電業,－,台北市內湖區行忠路42號6樓,23746488,陳政隆,陳政隆,李曉青,專案經理,陳思媚,(02)77210240,79/05/21,89/03/21,新台幣 10.0000元,206878040,20687804,0,0,個別,每半會計年度,董事會,統一證券(股)公司股務代理部,2747-8266,台北市松山區東興路8號B1樓,資誠聯合會計師事務所,梁益彰,陳憲正,SOLOMON DATA,"6F, No.42, Shing Jung Rd.,Nei Hu Dist., Taipei, Taiwan, R.O.C.",(02)77210241,shares@mail.datavision.com.tw,www.datavision.com.tw,陳雪蘋,特助,(02)77210240,shares@mail.datavision.com.tw,http://www.datavision.com.tw/contact.php
231,5438,東友科技股份有限公司,東友,電腦及週邊設備業,－,新北市汐止區新台五路一段79號6樓之6,16091527,黃育仁,和田幹二,張振成,協理,賴建一,(03)4733112,86/09/08,89/06/17,新台幣 10.0000元,1125365650,112536565,0,0,合併,每年,董事會,中國信託商業銀行(股)公司代理部,(02)66365566,台北市重慶南路一段83號6樓,資誠聯合會計師事務所,黃世鈞,葉翠苗,TIS,"6F.-6, No. 79, Sec. 1, Xintai 5th Rd., Xizhi Dist.,New Taipei City 221, Taiwan (R.O.C.)",(02)2792-2102,ir@tecoimage.com.tw,http://www.tecoimage.com.tw/,張振成,協理,(02)2792-1116,ir@tecoimage.com.tw,http://www.tecoimage.com.tw/Investor/zh-tw/investor.html
232,5439,高技企業股份有限公司,高技,電子零組件業,－,桃園市桃園區興邦路43巷3號,22773079,張景山,張景山,張秋雄,財務長,李泰輝,03-3767800,77/01/29,89/06/26,新台幣 10.0000元,929757520,92975752,0,0,個別,每年,股東會,台新證券股務代理部,02-25048125,台北市建國北路一段96號B1,勤業眾信聯合會計師事務所,劉書琳,徐文亞,FHt,"No.3,Lane 43,Hsing Pang Rd.Taoyuan District,Taoyuan City,Taiwan 330",03-3761921,fia@fht.com.tw,http://www.fht.com.tw,張秋雄,財務長,03-3767800#111,ted@fht.com.tw,http://www.fht.com.tw/web/tw/page/99
233,5443,均豪精密工業股份有限公司,均豪,光電業,－,新竹科學工業園區新竹縣創新一路5-1號4樓,33838628,陳政興,陳政興,李素珍,特別助理,曾嘉茹,03-5639999,67/12/22,87/02/09,新台幣 10.0000元,1651361440,165136144,0,0,合併,每年,股東會,統一綜合證券股份有限公司,27478266,臺北市東興路8號1樓,資誠聯合會計師事務所,李典易,江采燕,GPM,"No. 5-1, Innovation 1st Rd., SBIP300 Hsinchu, Taiwan, R.O.C",03-5639988,jennylee@gpmcorp.com.tw,www.gpmcorp.com.tw,李素珍,特別助理,3-5639999#1105,jennylee@gpmcorp.com.tw,www.gpmcorp.com.tw/zh-tw/investor/index/72
234,5452,佶優科技股份有限公司,佶優,其他電子業,－,新北市土城區自強街8號,86266274,馬康華,林日旺,楊淑玲,財務主管,張淑芬,02-2269-6669,80/08/20,89/10/02,新台幣 10.0000元,1487636690,148763669,0,0,合併,每年,股東會,凱基證券(股)公司股務代理部,02-23892999,台北市中正區重慶南路一段2號5樓,安侯建業聯合會計師事務所,江忠儀,陳宜君,UNIC,"NO. 8 TZU CHIANG STREET, TUCHENG DIST., NEW TAIPEI CITY, TAIWAN",02-2269-3695,ling@unicgroup.com,www.unicgroup.com,楊淑玲,財會主管,02-2269-6669#130,ling@unicgroup.com,https://www.unicgroup.com/?page_id=77
235,5457,宣德科技股份有限公司,宣德,電子零組件業,－,桃園市龜山區民生北路一段568號,23866949,蔡鎮隆,蔡鎮隆,莊月通,處長,張誌仁,03-2120088,79/10/16,89/09/29,新台幣 10.0000元,1702019000,170201900,0,0,合併,每年,股東會,台新綜合證券(股)公司股務代理部,02-25048125,台北市建國北路一段96號B1,資誠聯合會計師事務所,黃世鈞,林佳鴻,SPEED TECH,"No.568, Sec.1, Mingsheng N. Road,Guishan District,Taoyuan City, Taiwan",03-2121771,PR@speedtech.com.tw,www.speedtech.com.tw,莊月通,處長,03-2120088,leochuang@speedtech.com.tw,http://www.speedtech.com.tw/web/html/ctpage.asp?menu=1&parent=171&index=229&level=2&banner=171&lang=
236,5460,同協電子股份有限公司,同協,電子零組件業,－,新北市新莊區民安路429巷1號,33701355,劉定泮,劉定泮,楊宗翰,管理部副理,王陳惠,(02)22022241,61/12/14,89/09/28,新台幣 10.0000元,587781300,58778130,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,(02)27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,廖婉怡,陳薔旬,MUSTANG,"1 Lane 429,Ming-An RoadHsin-Chuang District, New Taipei City",(02)22023126,Yang_ZH@mustang-group.com,www.mustang-group.com,楊宗翰,管理部副理,(02)22022241-105,Yang_ZH@mustang-group.com,http://www.mustang-group.com/mustang/c_down_j4.jsp
237,5464,霖宏科技股份有限公司,霖宏,電子零組件業,－,嘉義縣民雄鄉福樂村中山路6號,89396770,張枋霖,張枋霖,張哲明,副總經理,謝佩如,05-2216696,84/06/21,89/11/08,新台幣 10.0000元,710714900,71071490,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,安永聯合會計師事務所,黃子評,嚴文筆,LIN HORN,NO.6 CHUNG-SHAN RD. MIN-HSIUNG INDUSTRIAL PARKCHIAYI HSIEN. TAIWAN R.O.C,05-2217178,lhtech@lhtech.com.tw,www.lhtech.com.tw,張哲明,副總經理,05-2216696,lhtech@lhtech.com.tw,www.lhtech.com.tw
238,5465,富驊企業股份有限公司,富驊,電腦及週邊設備業,－,台南市安南區安和路2段54巷225號,36270626,柯吉源,王駿東,王駿東,總經理,陳慧珊,(06)356-0606,73/07/23,89/11/08,新台幣 10.0000元,1476826290,147682629,65463215,0,合併,每年,股東會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,王騰葦,李季珍,LFE,"NO.225,LANE 54,SEC.2,AN HO ROND.TAINAN, TAIWAN, R.O.C.",(06)356-0505,stacey-chen@hec-group.com.tw,www.lfe.com.tw,陳慧珊,經理,06-3560606#108,stacey-chen@hec-group.com.tw,http://www.lfe.com.tw/Chinese/AboutUs-sh.htm
239,公司代號,公司名稱,公司簡稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上櫃日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址
240,5468,凱鈺科技股份有限公司,凱鈺,半導體業,－,新竹科學園區新竹市科技五路6號,84149245,胡炳昆,胡炳昆,嚴守信,財務處長,胡喬茹,03-5787720,83/07/21,90/01/17,新台幣 10.0000元,278229090,27822909,12226903,0,合併,每年,股東會,台新證券股務代理部,02-25048125,台北市中山區建國北路一段96號地下1樓,勤業眾信聯合會計師事務所,李季珍,楊朝欽,TMTECH,"No. 6, Technology Road 5, Hsinchu Science ParkHsinchu, Taiwan 30078, R.O.C.",03-5787719,contact@tmtech.com.tw,www.tmtech.com.tw,嚴守信,財務處長,06-3843158,bright.yen@tmtech.com.tw,www.tmtech.com.tw
241,5474,聰泰科技開發股份有限公司,聰泰,電腦及週邊設備業,－,臺北市忠孝東路2段88號18樓,23902678,陳立民,林宏沛,趙希政,執行長,羅嘉翎,(02)23921233,79/10/01,90/03/20,新台幣 10.0000元,403559440,40355944,0,0,個別,每年,董事會,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路二段97號地下2樓,資誠聯合會計師事務所,馮敏娟,徐永堅,YUAN,"18F,No.88,Sec.2,Chunghsiao E.Rd.,Taipei 100,Taiwan",(02)23921358,nancy@yuan.com.tw,www.yuan.com.tw,羅嘉翎,財會經理,02-23921233,Nancy@yuan.com.tw,http://www.yuan.com.tw/en/investor/Stakeholder.htm
242,5475,德宏工業股份有限公司,德宏,電子零組件業,－,桃園市楊梅區楊湖路二段718號,97178087,劉暉麟,,陳達,財務主管,,03-4726448,86/03/21,90/01/16,新台幣 10.0000元,1271270170,127127017,5600000,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,廖福銘,林一帆,GLOTECH,No.718 Sec.2 Yang-Hoo Rd.Yang-Mei Dist Tao-Yuan City,03-4726447,eric.chen@glotechgf.com,www.glotechgf.com,陳達,財務主管,03-4726448#650,service1.tw@glotechgf.com,www.glotechgf.com
243,5483,中美矽晶製品股份有限公司,中美晶,半導體業,－,新竹科學園區新竹市工業東二路八號四樓,47238650,徐秀蘭,姚宕梁,李崇偉,企業發展副總經理,陳蓓怡,03-577-2233,70/01/21,90/03/02,新台幣 10.0000元,5862216510,586221651,0,0,合併,每半會計年度,董事會,元大證券股份有限公司股務代理部,02-2586-5859,台北市承德路三段210號B1樓,安侯建業聯合會計師事務所,鄭安志,曾渼鈺,SAS,"4F, No. 8. Industrial East Road 2, Hsinchu Science Park, Taiwan, R.O.C. Hsinchu, Taiwan, R.O.C.",03-578-1706,IR@saswafer.com,http://www.saswafer.com,李崇偉,企業發展副總經理,03-577-2233,IR@saswafer.com,http://www.saswafer.com
244,5487,通泰積體電路股份有限公司,通泰,半導體業,－,新北市中和區建一路166號6樓,22321575,福豐盛投資股份有限公司,陳家天,黃秀琴,稽核經理,郭錦美,02-82265916,75/10/14,90/02/20,新台幣 10.0000元,239305160,23930516,0,0,合併,每年,股東會,第一金證券股份有限公司,2563-5711,10688台北市大安區安和路一段27號六樓,安永聯合會計師事務所,黃宇廷,嚴文筆,TONTEK,"6F, NO.166, CHIEN-I RD.,ZHONGHE DIST., NEW TAIPEI CITY, TAIWAN",02-82265929,Spokesman@tontek.com.tw,www.tontek.com.tw,黃秀琴,稽核經理,02-82265916#112,linda@tontek.com.tw,https://www.tontek.com.tw/company/person
245,5488,松普科技股份有限公司,松普,電子零組件業,－,桃園市龜山區大華里頂湖五街三號,43900488,駱國呈,駱秀勇,李振陽,財務部經理,黃智惠,03-3285480,72/05/21,90/03/12,新台幣 10.0000元,915861240,91586124,0,0,合併,每年,股東會,福邦證券股份有限公司,02-2383-6888,10041台北市中正區忠孝西路一段6號6樓,霈昇聯合會計師事務所,林育雅,李菡,SP,"No.3, Ding Hu 5th St. Kwei Shan Dist., Taoyuan City 333, Taiwan, R.O.C.TAOYUAN CITY. TAIWAN. R.O.C",03-3961542,service@tw.sunfpu.com,http://www.sunfpu.com.tw,李振陽,財務部經理,03-3285480,eddie@tw.sunfpu.com,http://www.sunfpu.com.tw
246,5489,彩富電子股份有限公司,彩富,其他電子業,－,台北市內湖區洲子街116號,86157450,陳春生,張建湘,林碧芳,業務管理部經理,黃詠筑,(02)2659-8898,80/07/16,90/03/12,新台幣 10.0000元,1027064410,102706441,0,0,合併,每年,股東會,群益金鼎證券股份有限公司,(02)2702-3999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,林文欽,郭俐雯,DYNACOLOR,"No. 116, Jou Tz Street, NeihuTaipei 114, Taiwan",(02)2659-8868,finance@dynacolor.com.tw,http://www.dynacolor.com.tw,林碧芳,業務管理部經理,(02)2659-8898,finance@dynacolor.com.tw,https://www.dynacolor.com.tw/zh-hant/csr/#av-tab-section-1-2
247,5490,同亨科技股份有限公司,同亨,電腦及週邊設備業,－,新竹縣科學園區工業東九路三十號四樓,84149929,張永銘,張永銘,徐壬謙,資深經理,姜君柔,03-5772738,86/04/08,90/05/14,新台幣 10.0000元,962131010,96213101,0,0,合併,每年,董事會,富邦綜合證券(股)公司股務代理部,02-23611300,台北市中正區許昌街17 號2 樓( 壽德大樓),安侯建業聯合會計師事務所,曾渼鈺,黃海寧,XAC,"4F.,No 30,INDUSTRY E. RD. IX, SCIENCE-BASED INDUSTRIAL PARK HSIN-CHU, TAIWAN",03-5678022,leo_hsu@xac.com.tw,www.xac.com.tw,徐壬謙,資深經理,03-5772738-8135,leo_hsu@xac.com.tw,http://www.xac.com.tw/tw/management/index.php
248,5493,三聯科技股份有限公司,三聯,其他電子業,－,台北市大安區復興南路一段390號5樓之3,03051501,林大鈞,林廷芳,陳秀蕙,財務長兼發言人,黃薏臻,02-27081730,56/02/20,90/05/03,新台幣 10.0000元,416088150,41608815,0,0,合併,每半會計年度,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,李運鞭,蔡亦臺,Sanlien,"5F-3 ,No. 390 , Fu-Hsing S. Rd., Sec. 1,Taipei 106 , Taiwan , R.O.C.",02-27031561,sanlien@sanlien.com,www.sanlien.com,陳秀蕙,財務長兼發言人,(02)27081730#301,grace_chen@sanlien.com,http://www.sanlien.com.tw/ss003/
249,5498,凱崴電子股份有限公司,凱崴,電子零組件業,－,桃園市桃園區大林里21鄰興邦路32號,97326828,周邦基,徐偉傑,初從維,執行董事,游章渭,(03)366-0667,86/02/27,90/03/29,新台幣 10.0000元,1899133460,189913346,17138195,0,合併,每年,股東會,宏遠證券股份有限公司,(02)77198899,台北市大安區信義路四段236號3樓,勤業眾信聯合會計師事務所,林旺生,陳盈州,KEY WARE,"NO. 32,Singbang Rd., 21 Neighborhood, DalinTAOYUAN City, TAIWAN, R.O.C.",(03)366-8136,fin-key@key-ware.com.tw,www.key-ware.com.tw,游章渭,財務部協理,(03)366-0667,changwei-yu@key-ware.com.tw,http://www.key-ware.com.tw/invest/index7.asp
250,5536,聖暉工程科技股份有限公司,聖暉,其他電子業,－,台中市西屯區文心路二段201號19樓之1,52524653,梁進利,賴銘崑&王俊盛,曹耘涵,協理,黃子晏,04-22615288,68/02/19,99/11/10,新台幣 10.0000元,571867420,57186742,0,0,合併,每年,董事會,凱基證券股份有限公司,02-23148800,100台北市重慶南路一段2號5樓,安侯建業聯合會計師事務所,陳政學,黃海寧,ACTER,"19F.-1, No.201, Sec. 2, Wenxin Rd., Xitun Dist.,Taichung City 40758, Taiwan (R.O.C.)",04-22615121,angie@acter.com.tw,http://www.acter.com.tw,曹耘涵,協理,04-22615288,angie@acter.com.tw,http://www.acter.com.tw/index.php/zh-tw/interested-parties
251,6103,合邦電子股份有限公司,合邦,半導體業,－,新竹巿科學工業園區園區二路11號8樓,84149569,柯拔希,林逸洲,林逸洲,總經理,陳天任,(03)579-5222,85/01/22,90/05/07,新台幣 10.0000元,894320890,89432089,82855945,0,合併,每年,股東會,元大證券股份有限公司,(02)25865859,台北巿承德路三段210號地下一樓,聯捷聯合會計師事務所,詹定勳,邱雲超,AVID,"8F, NO.11, PARK AVE. RD. II, SCIENCE-BASED INDUSTRIAL PARKHSIN CHU, TAIWAN, R.O.C.",(03)579-5223,sso@avid.com.tw,http://www.avid.com.tw,林逸洲,總經理,(03)579-5222,sso@avid.com.tw,http://www.avid.com.tw
